description,name
adversaries may enumerate files and directories or search in specific device locations for desired information within a filesystem adversaries may use the information from file and directory discovery https attack mitre org techniques t1420 during automated discovery to shape follow on behaviors including deciding if the adversary should fully infect the target and or attempt specific actions on android linux file permissions and selinux policies typically stringently restrict what can be accessed by apps without taking advantage of a privilege escalation exploit the contents of the external storage directory are generally visible which could present concerns if sensitive data is inappropriately stored there ios s security architecture generally restricts the ability to perform any type of file and directory discovery https attack mitre org techniques t1420 without use of escalated privileges ,File and Directory Discovery
adversaries may attempt to make a payload or file difficult to discover or analyze by encrypting encoding or otherwise obfuscating its contents on the device or in transit this is common behavior that can be used across different platforms and the network to evade defenses payloads may be compressed archived or encrypted in order to avoid detection these payloads may be used during initial access or later to mitigate detection portions of files can also be encoded to hide the plaintext strings that would otherwise help defenders with discovery payloads may also be split into separate seemingly benign files that only reveal malicious functionality when reassembled citation microsoft mallockerb ,Obfuscated Files or Information
a malicious application can inject input to the user interface to mimic user interaction through the abuse of android s accessibility apis input injection https attack mitre org techniques t1516 can be achieved using any of the following methods mimicking user clicks on the screen for example to steal money from a user s paypal account citation android trojan steals paypal 2fa injecting global actions such as global_action_back programatically mimicking a physical back button press to trigger actions on behalf of the user citation talos gustuff apr 2019 inserting input into text fields on behalf of the user this method is used legitimately to auto fill text fields by applications such as password managers citation bitwarden autofill logins ,Input Injection
adversaries may perform network denial of service dos attacks to degrade or block the availability of targeted resources to users network dos can be performed by exhausting the network bandwidth that services rely on or by jamming the signal going to or coming from devices a network dos will occur when an adversary is able to jam radio signals e g wi fi cellular gps around a device to prevent it from communicating for example to jam cellular signal an adversary may use a handheld signal jammer which jam devices within the jammer s operational range citation nist sp800187 usage of cellular jamming has been documented in several arrests reported in the news citation cnet celljammer citation nytimes celljam citation digitaltrends celljam citation arstechnica celljam ,Network Denial of Service
adversaries may modify applications installed on a device to establish persistent access to a victim these malicious modifications can be used to make legitimate applications carry out adversary tasks when these applications are in use there are multiple ways an adversary can inject malicious code into applications one method is by taking advantages of device vulnerabilities the most well known being janus an android vulnerability that allows adversaries to add extra bytes to apk application and dex executable files without affecting the file s signature by being able to add arbitrary bytes to valid applications attackers can seamlessly inject code into genuine executables without the user s knowledge citation guardsquare janus adversaries may also rebuild applications to include malicious modifications this can be achieved by decompiling the genuine application merging it with the malicious code and recompiling it citation checkpoint agent smith adversaries may also take action to conceal modifications to application executables and bypass user consent these actions include altering modifications to appear as an update or exploiting vulnerabilities that allow activities of the malicious application to run inside a system application citation checkpoint agent smith ,Compromise Application Executable
adversaries may establish persistence using system mechanisms that trigger execution based on specific events mobile operating systems have means to subscribe to events such as receiving an sms message device boot completion or other device activities adversaries may abuse these mechanisms as a means of maintaining persistent access to a victim via automatically and repeatedly executing malicious code after gaining access to a victim s system adversaries may create or modify event triggers to point to malicious content that will be executed whenever the event trigger is invoked ,Event Triggered Execution
adversaries may look for details about the network configuration and settings such as ip and or mac addresses of devices they access or through information discovery of remote systems adversaries may use the information from system network configuration discovery https attack mitre org techniques t1422 during automated discovery to shape follow on behaviors including determining certain access within the target network and what actions to do next on android details of onboard network interfaces are accessible to apps through the java net networkinterface class citation networkinterface previously the android telephonymanager class could be used to gather telephony related device identifiers information such as the imsi imei and phone number however starting with android 10 only preloaded carrier the default sms or device and profile owner applications can access the telephony related device identifiers citation telephonymanager on ios gathering network configuration information is not possible without root access adversaries may use the information from system network configuration discovery https attack mitre org techniques t1422 during automated discovery to shape follow on behaviors including determining certain access within the target network and what actions to do next ,System Network Configuration Discovery
if network traffic between the mobile device and a remote server is not securely protected then an attacker positioned on the network may be able to manipulate network communication without being detected for example fireeye researchers found in 2014 that 68 of the top 1 000 free applications in the google play store had at least one transport layer security tls implementation vulnerability potentially opening the applications network traffic to adversary in the middle attacks citation fireeye ssl ,Manipulate Device Communication
an adversary can leverage a device s cameras to gather information by capturing video recordings images may also be captured potentially in specified intervals in lieu of video files malware or scripts may interact with the device cameras through an available api provided by the operating system video or image files may be written to disk and exfiltrated later this technique differs from screen capture https attack mitre org techniques t1513 due to use of the device s cameras for video recording rather than capturing the victim s screen in android an application must hold the android permission camera permission to access the cameras in ios applications must include the nscamerausagedescription key in the info plist file in both cases the user must grant permission to the requesting application to use the camera if the device has been rooted or jailbroken an adversary may be able to access the camera without knowledge of the user ,Video Capture
adversaries may use an existing legitimate external web service channel as a means for sending commands to a compromised system without receiving return output compromised systems may leverage popular websites and social media to host command and control c2 instructions those infected systems may opt to send the output from those commands back over a different c2 channel including to another distinct web service alternatively compromised systems may return no output at all in cases where adversaries want to send instructions to systems and do not want a response popular websites and social media acting as a mechanism for c2 may give a significant amount of cover this is due to the likelihood that hosts within a network are already communicating with them prior to a compromise using common services such as those offered by google or twitter makes it easier for adversaries to hide in expected noise web service providers commonly use ssl tls encryption giving adversaries an added level of protection ,One-Way Communication
malicious applications are a common attack vector used by adversaries to gain a presence on mobile devices mobile devices often are configured to allow application installation only from an authorized app store e g google play store or apple app store an adversary may seek to place a malicious application in an authorized app store enabling the application to be installed onto targeted devices app stores typically require developer registration and use vetting techniques to identify malicious applications adversaries may use these techniques against app store defenses download new code at runtime https attack mitre org techniques t1407 obfuscated files or information https attack mitre org techniques t1406 adversaries may also seek to evade vetting by placing code in a malicious application to detect whether it is running in an app analysis environment and if so avoid performing malicious actions while under analysis citation petsas citation oberheide bouncer citation percoco bouncer citation wang adversaries may also use fake identities payment cards etc to create developer accounts to publish malicious applications to app stores citation oberheide bouncer adversaries may also use control of a target s google account to use the google play store s remote installation capability to install apps onto the android devices associated with the google account citation oberheide remoteinstall citation konoth only applications that are available for download through the google play store can be remotely installed using this technique ,Deliver Malicious App via Authorized App Store
an adversary may encrypt files stored on a mobile device to prevent the user from accessing them this may be done in order to extract monetary compensation from a victim in exchange for decryption or a decryption key ransomware or to render data permanently inaccessible in cases where the key is not saved or transmitted ,Data Encrypted for Impact
adversaries may abuse the android device administration api to prevent the user from uninstalling a target application in earlier versions of android device administrator applications needed their administration capabilities explicitly deactivated by the user before the application could be uninstalled this was later updated so the user could deactivate and uninstall the administrator application in one step adversaries may also abuse the device accessibility apis to prevent removal this set of apis allows the application to perform certain actions on behalf of the user and programmatically determine what is being shown on the screen the malicious application could monitor the device screen for certain modals e g the confirmation modal to uninstall an application and inject screen input or a back button tap to close the modal for example android s performglobalaction int api could be utilized to prevent the user from removing the malicious application from the device after installation if the user wants to uninstall the malicious application two cases may occur both preventing the user from removing the application case 1 if the integer argument passed to the api call is 2 or global_action_home the malicious application may direct the user to the home screen from settings screen case 2 if the integer argument passed to the api call is 1 or global_action_back the malicious application may emulate the back press event ,Prevent Application Removal
adversaries may attempt to get a listing of network connections to or from the compromised device they are currently accessing or from remote systems by querying for information over the network this is typically accomplished by utilizing device apis to collect information about nearby networks such as wi fi bluetooth and cellular tower connections on android this can be done by querying the respective apis wifiinfo for information about the current wi fi connection as well as nearby wi fi networks querying the wifiinfo api requires the application to hold the access_fine_location permission bluetoothadapter for information about bluetooth devices which also requires the application to hold several permissions granted by the user at runtime for android versions prior to q applications can use the telephonymanager getneighboringcellinfo method for q and later applications can use the telephonymanager getallcellinfo method both methods require the application hold the access_fine_location permission ,System Network Connections Discovery
adversaries may send malicious content to users in order to gain access to their mobile devices all forms of phishing are electronically delivered social engineering adversaries can conduct both non targeted phishing such as in mass malware spam campaigns as well as more targeted phishing tailored for a specific individual company or industry known as spearphishing phishing often involves social engineering techniques such as posing as a trusted source as well as evasion techniques such as removing or manipulating emails or metadata headers from compromised accounts being abused to send messages mobile phishing may take various forms for example adversaries may send emails containing malicious attachments or links typically to deliver and then execute malicious code on victim devices phishing may also be conducted via third party services like social media platforms mobile devices are a particularly attractive target for adversaries executing phishing campaigns due to their smaller form factor than traditional desktop endpoints users may not be able to notice minor differences between genuine and phishing websites further mobile devices have additional sensors and radios that allow adversaries to execute phishing attempts over several different vectors such as sms messages adversaries may send sms messages known as smishing from compromised devices to potential targets to convince the target to for example install malware navigate to a specific website or enable certain insecure configurations on their device quick response qr codes adversaries may use qr codes known as quishing to redirect users to a phishing website for example an adversary could replace a legitimate public qr code with one that leads to a different destination such as a phishing website a malicious qr code could also be delivered via other means such as sms or email in the latter case an adversary could utilize a malicious qr code in an email to pivot from the user s desktop computer to their mobile device phone calls adversaries may call victims known as vishing to persuade them to perform an action such as providing login credentials or navigating to a malicious website this could also be used as a technique to perform the initial access on a mobile device but then pivot to a computer other network by having the victim perform an action on a desktop computer ,Phishing
adversaries may use ssl pinning https attack mitre org techniques t1521 003 to protect the c2 traffic from being intercepted and analyzed ssl pinning https attack mitre org techniques t1521 003 is a technique commonly utilized by legitimate websites to ensure that encrypted communications are only allowed with a pre defined certificate if another certificate is presented it could indicate device compromise traffic interception or another upstream issue while benign usages are common it is also possible for adversaries to abuse this technology to protect malicious c2 traffic in normal not pinned ssl validation when a client connects to a server using https it typically checks whether the server s ssl tls certificate is signed by a trusted certificate authority ca in the device s trust store if the certificate is valid and signed by a trusted ca the connection is established however with ssl pinning https attack mitre org techniques t1521 003 the client is configured to trust a specific ssl tls certificate or public key rather than relying on the device s trust store this means that even if the server s certificate is signed by a trusted ca the client will only establish the connection of the certificate or key is pinned there are two types of ssl pinning https attack mitre org techniques t1521 003 1 certificate pinning the client stores a copy of the server s certificate and compares it with the certificate received during the ssl handshake if the certificates match then the client proceeds with the connection this approach also works with self signed certificates 2 public key pinning instead of pinning the entire certificate the client pins just the public key extracted from the certificate this is often more flexible as it allows the server to renew its certificate without having to update the pinned certificate or breaking the ssl connection ,SSL Pinning
an adversary with physical access to a mobile device may seek to bypass the device s lockscreen several methods exist to accomplish this including biometric spoofing if biometric authentication is used an adversary could attempt to spoof a mobile device s biometric authentication mechanism both ios and android partly mitigate this attack by requiring the device s passcode rather than biometrics to unlock the device after every device restart and after a set or random amount of time citation srlabs fingerprint citation thesun faceid unlock code bypass an adversary could attempt to brute force or otherwise guess the lockscreen passcode typically a pin or password including physically observing shoulder surfing the device owner s use of the lockscreen passcode mobile os vendors partly mitigate this by implementing incremental backoff timers after a set number of failed unlock attempts as well as a configurable full device wipe after several failed unlock attempts vulnerability exploit techniques have been periodically demonstrated that exploit mobile devices to bypass the lockscreen the vulnerabilities are generally patched by the device or os vendor once disclosed citation wired androidbypass citation kaspersky iosbypass ,Lockscreen Bypass
adversaries may use built in command line interfaces to interact with the device and execute commands android provides a bash shell that can be interacted with over the android debug bridge adb or programmatically using java s runtime package on ios adversaries can interact with the underlying runtime shell if the device has been jailbroken if the device has been rooted or jailbroken adversaries may locate and invoke a superuser binary to elevate their privileges and interact with the system as the root user this dangerous level of permissions allows the adversary to run special commands and modify protected system files ,Command-Line Interface
adversaries may utilize standard operating system apis to gather contact list data on android this can be accomplished using the contacts content provider on ios this can be accomplished using the contacts framework if the device has been jailbroken or rooted an adversary may be able to access the contact list https attack mitre org techniques t1636 003 without the user s knowledge or approval ,Contact List
adversaries may search local system sources such as file systems or local databases to find files of interest and sensitive data prior to exfiltration access to local system data which includes information stored by the operating system often requires escalated privileges examples of local system data include authentication tokens the device keyboard cache wi fi passwords and photos on android adversaries may also attempt to access files from external storage which may require additional storage related permissions ,Data from Local System
adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users accounts may be deleted locked or manipulated ex credentials changed to remove access to accounts ,Account Access Removal
adversaries may attempt to get detailed information about a device s operating system and hardware including versions patches and architecture adversaries may use the information from system information discovery https attack mitre org techniques t1426 during automated discovery to shape follow on behaviors including whether or not to fully infects the target and or attempts specific actions on android much of this information is programmatically accessible to applications through the android os build class citation android build ios is much more restrictive with what information is visible to applications typically applications will only be able to query the device model and which version of ios it is running ,System Information Discovery
,Fake Developer Accounts
adversaries may abuse clipboard functionality to intercept and replace information in the android device clipboard citation eset clipboard modification february 2019 citation welivesecurity clipboard modification february 2019 citation syracuse clipboard modification 2014 malicious applications may monitor the clipboard activity through the code clipboardmanager onprimaryclipchangedlistener code interface on android to determine when the clipboard contents have changed citation dr webb clipboard modification origin2 august 2018 citation dr webb clipboard modification origin august 2018 listening to clipboard activity reading the clipboard contents and modifying the clipboard contents requires no explicit application permissions and can be performed by applications running in the background however this behavior has changed with the release of android 10 citation android 10 privacy changes adversaries may use clipboard modification https attack mitre org techniques t1510 to replace text prior to being pasted for example replacing a copied bitcoin wallet address with a wallet address that is under adversarial control clipboard modification https attack mitre org techniques t1510 had been seen within the android clipper c trojan this sample had been detected by eset in an application distributed through the google play store targeting cryptocurrency wallet numbers citation eset clipboard modification february 2019 ,Clipboard Modification
adversaries may compress and or encrypt data that is collected prior to exfiltration compressing data can help to obfuscate its contents and minimize use of network resources encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender both compression and encryption are done prior to exfiltration and can be performed using a utility programming library or custom algorithm ,Archive Collected Data
adversaries may use a device s geographical location to limit certain malicious behaviors for example malware operators may limit the distribution of a second stage payload to certain geographic regions citation lookout esurv geofencing https attack mitre org techniques t1627 001 is accomplished by persuading the user to grant the application permission to access location services the application can then collect process and exfiltrate the device s location to perform location based actions such as ceasing malicious behavior or showing region specific advertisements one method to accomplish geofencing https attack mitre org techniques t1627 001 on android is to use the built in geofencing api to automatically trigger certain behaviors when the device enters or exits a specified radius around a geographical location similar to other geofencing https attack mitre org techniques t1627 001 methods this requires that the user has granted the access_fine_location and access_background_location permissions the latter is only required if the application targets android 10 api level 29 or higher however android 11 introduced additional permission controls that may restrict background location collection based on user permission choices at runtime these additional controls include allow only while using the app which will effectively prohibit background location collection similarly on ios developers can use built in apis to setup and execute geofencing depending on the use case the app will either need to call requestwheninuseauthorization or requestalwaysauthorization depending on when access to the location services is required similar to android users also have the option to limit when the application can access the device s location including one time use and only when the application is running in the foreground geofencing https attack mitre org techniques t1627 001 can be used to prevent exposure of capabilities in environments that are not intended to be compromised or operated within for example location data could be used to limit malware spread and or capabilities which could also potentially evade application analysis environments ex malware analysis outside of the target geographic area other malicious usages could include showing language specific input prompts and or advertisements ,Geofencing
adversaries may use device sensors to collect information about nearby networks such as wi fi and bluetooth ,Network Information Discovery
a malicious application could capture sensitive data sent via sms including authentication credentials sms is frequently used to transmit codes used for multi factor authentication on android a malicious application must request and obtain permission either at app install time or run time in order to receive sms messages alternatively a malicious application could attempt to perform an operating system privilege escalation attack to bypass the permission requirement on ios applications cannot access sms messages in normal operation so an adversary would need to attempt to perform an operating system privilege escalation attack to potentially be able to access sms messages ,Capture SMS Messages
adversaries may attempt to hide multimedia files from the user by doing so adversaries may conceal captured files such as pictures videos and or screenshots then later exfiltrate those files specific to android devices if the nomedia file is present in a folder multimedia files in that folder will not be visible to the user in the gallery application additionally other applications are asked not to scan the folder with the nomedia file effectively making the folder appear invisible to the user this technique is often used by stalkerware and spyware applications ,Conceal Multimedia Files
adversaries may perform endpoint denial of service dos attacks to degrade or block the availability of services to users on android versions prior to 7 apps can abuse device administrator access to reset the device lock passcode preventing the user from unlocking the device after android 7 only device or profile owners e g mdms can reset the device s passcode citation android resetpassword on ios devices this technique does not work because mobile device management servers can only remove the screen lock passcode they cannot set a new passcode however on jailbroken devices malware has been discovered that can lock the user out of the device citation xiao keyraider ,Endpoint Denial of Service
adversaries may communicate with compromised devices using out of band data streams this could be done for a variety of reasons including evading network traffic monitoring as a backup method of command and control or for data exfiltration if the device is not connected to any internet providing networks i e cellular or wi fi several out of band data streams exist such as sms messages nfc and bluetooth on android applications can read push notifications to capture content from sms messages or other out of band data streams this requires that the user manually grant notification access to the application via the settings menu however the application could launch an intent to take the user directly there on ios there is no way to programmatically read push notifications ,Out of Band Data
adversaries may explicitly employ a known encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol despite the use of a secure algorithm these implementations may be vulnerable to reverse engineering if necessary secret keys are encoded and or generated within malware samples configuration files ,Encrypted Channel
a malicious app or other attack vector could be used to exploit vulnerabilities in code running within the trusted execution environment tee citation thomas trustzone the adversary could then obtain privileges held by the tee potentially including the ability to access cryptographic keys or other sensitive data citation qualcommkeymaster escalated operating system privileges may be first required in order to have the ability to attack the tee citation ekbergtee if not privileges within the tee can potentially be used to exploit the operating system citation laginimaineb tee ,Exploit TEE Vulnerability
a malicious application could suppress its icon from being displayed to the user in the application launcher this hides the fact that it is installed and can make it more difficult for the user to uninstall the application hiding the application s icon programmatically does not require any special permissions this behavior has been seen in the bankbot spy banker family of malware citation android trojan steals paypal 2fa citation sunny stolen credentials citation bankbot spybanker beginning in android 10 changes were introduced to inhibit malicious applications ability to hide their icon if an app is a system app requests no permissions or does not have a launcher activity the application s icon will be fully hidden further if the device is fully managed or the application is in a work profile the icon will be fully hidden otherwise a synthesized activity is shown which is a launcher icon that represents the app s details page in the system settings if the user clicks the synthesized activity in the launcher they are taken to the application s details page in the system settings citation android 10 limitations to hiding app icons citation launcherapps getactivitylist ,Suppress Application Icon
if an adversary can escalate privileges he or she may be able to use those privileges to place malicious code in the device s trusted execution environment tee or other similar isolated execution environment where the code can evade detection may persist after device resets and may not be removable by the device user running code within the tee may provide an adversary with the ability to monitor or tamper with overall device behavior citation roth rootkits ,Modify Trusted Execution Environment
,Device Unlock Code Guessing or Brute Force
an adversary could cause the mobile device to use less secure protocols for example by jamming frequencies used by newer protocols such as lte and only allowing older protocols such as gsm to communicate citation nist sp800187 use of less secure protocols may make communication easier to eavesdrop upon or manipulate ,Downgrade to Insecure Protocols
adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and or security tools masquerading occurs when the name location or appearance of an object legitimate or malicious is manipulated or abused for the sake of evading defenses and observation this may include manipulating file metadata tricking users into misidentifying the file type and giving legitimate task or service names renaming abusable system utilities to evade security monitoring is also a form of masquerading https attack mitre org techniques t1655 ,Masquerading
an adversary could seek to generate fraudulent advertising revenue from mobile devices for example by triggering automatic clicks of advertising links without user involvement ,Generate Fraudulent Advertising Revenue
,Malicious or Vulnerable Built-in Device Functionality
adversaries may use steganography techniques in order to prevent the detection of hidden information steganographic techniques can be used to hide data in digital media such as images audio tracks video clips or text files ,Steganography
an adversary could exploit signaling system vulnerabilities to redirect calls or text messages sms to a phone number under the attacker s control the adversary could then act as an adversary in the middle to intercept or manipulate the communication citation engel ss7 citation engel ss7 2008 citation 3gpp security citation positive ss7 citation csric5 wg10 finalreport interception of sms messages could enable adversaries to obtain authentication codes used for multi factor authentication citation theregister ss7 ,Exploit SS7 to Redirect Phone Calls/SMS
adversaries may attempt to hide artifacts associated with their behaviors to evade detection mobile operating systems have features and developer apis to hide various artifacts such as an application s launcher icon these apis have legitimate usages such as hiding an icon to avoid application drawer clutter when an application does not have a usable interface adversaries may abuse these features and apis to hide artifacts from the user to evade detection ,Hide Artifacts
adversaries may modify code signing policies to enable execution of applications signed with unofficial or unknown keys code signing provides a level of authenticity on an app from a developer guaranteeing that the program has not been tampered with and comes from an official source security controls can include enforcement mechanisms to ensure that only valid signed code can be run on a device mobile devices generally enable these security controls by default such as preventing the installation of unknown applications on android adversaries may modify these policies in a number of ways including input injection https attack mitre org techniques t1516 or malicious configuration profiles ,Code Signing Policy Modification
adversaries may use domain generation algorithms https attack mitre org techniques t1637 001 dgas to procedurally generate domain names for uses such as command and control communication or malicious application distribution citation securelist rotexy 2018 dgas increase the difficulty for defenders to block track or take over the command and control channel as there could potentially be thousands of domains that malware can check for instructions ,Domain Generation Algorithms
adversaries may gain access to a system through a user visiting a website over the normal course of browsing with this technique the user s web browser is typically targeted for exploitation but adversaries may also use compromised websites for non exploitation behavior such as acquiring an application access token https attack mitre org techniques t1550 001 multiple ways of delivering exploit code to a browser exist including a legitimate website is compromised where adversaries have injected some form of malicious code such as javascript iframes and cross site scripting malicious ads are paid for and served through legitimate ad providers built in web application interfaces are leveraged for the insertion of any other kind of object that can be used to display web content or contain a script that executes on the visiting client e g forum posts comments and other user controllable web content often the website used by an adversary is one visited by a specific community such as government a particular industry or region where the goal is to compromise a specific user or set of users based on a shared interest this kind of targeted attack is referred to a strategic web compromise or watering hole attack there are several known examples of this occurring citation lookout stealthmango typical drive by compromise process 1 a user visits a website that is used to host the adversary controlled content 2 scripts automatically execute typically searching versions of the browser and plugins for a potentially vulnerable version the user may be required to assist in this process by enabling scripting or active website components and ignoring warning dialog boxes 3 upon finding a vulnerable version exploit code is delivered to the browser 4 if exploitation is successful then it will give the adversary code execution on the user s system unless other protections are in place in some cases a second visit to the website after the initial scan is required before exploit code is delivered ,Drive-By Compromise
a malicious application could suppress its icon from being displayed to the user in the application launcher to hide the fact that it is installed and to make it more difficult for the user to uninstall the application hiding the application s icon programmatically does not require any special permissions this behavior has been seen in the bankbot spy banker family of malware citation android trojan steals paypal 2fa citation sunny stolen credentials citation bankbot spybanker ,Suppress Application Icon
